daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130130102310.daq,7,22,1826.78333333333,1,0,right,1.10281372070313,268.897186279297,12,0.0001,61.4919509887695,0,-0.175779983401299,0.290025532245636,-0.0427267290651798,2.83406716463117,-43233.8941859245,-49074.5043832437,-43236.3563207722,-49074.4569868826,-43238.81845562,-49074.4095905215,1,0,0,0
20130130102310.daq,7,22,1826.88333333333,1,0,right,1.07069396972656,268.929306030273,12,0.0001,61.495059967041,9.01906764155137,-0.175779983401299,0.290222644805908,-0.0617100521922112,3.00405126676841,-43234.0796865568,-49083.5192563794,-43236.5418475879,-49083.4732402872,-43239.0040086189,-49083.4272241949,1,0,0,0
20130130102310.daq,7,22,1826.98333333333,1,0,right,1.04074096679688,268.959259033203,12,0.0001,61.4981575012207,18.038590941258,-0.175779983401299,0.289525061845779,-0.0332348346710205,3.18578576401466,-43234.2614161934,-49092.5341792249,-43236.7236009442,-49092.4894503038,-43239.185785695,-49092.4447213826,1,0,0,0
20130130102310.daq,7,22,1827.08333333333,1,0,right,1.01075744628906,268.989242553711,12,0.0001,61.5012245178223,27.0585671482841,-0.175779983401299,0.290221661329269,-0.0142515115439892,3.35977951298218,-43234.4353317987,-49101.549100379,-43236.8975396195,-49101.5056599527,-43239.3597474403,-49101.4622195264,1,0,0,0
20130130102310.daq,7,22,1827.18333333333,1,0,right,0.983413696289063,269.016586303711,12,0.0001,61.5042381286621,36.0789890825108,-0.175779983401299,0.290958523750305,-0.0522183887660503,3.53009136443506,-43234.6055057279,-49110.5640826491,-43237.0677339998,-49110.521817288,-43239.5299622716,-49110.4795519269,1,0,0,0
20130130102310.daq,7,22,1827.28333333333,1,0,right,0.955596923828125,269.044403076172,12,0.0001,61.5072822570801,45.0998539464781,-0.175779983401299,0.290417373180389,-0.0617100521922112,3.69652342867839,-43234.7717442951,-49119.5790529677,-43237.2339927964,-49119.5379830092,-43239.6962412977,-49119.4969130508,1,0,0,0
20130130102310.daq,7,22,1827.38333333333,1,0,right,0.928436279296875,269.071563720703,12,0.0001,61.5103569030762,54.1211586629797,-0.175779983401299,0.290337383747101,-0.0427267290651798,3.85907832483534,-43234.9341177299,-49128.5979441681,-43237.3963854234,-49128.5580414251,-43239.8586531169,-49128.5181386821,1,0,0,0
20130130102310.daq,7,22,1827.48333333333,1,0,right,0.902740478515625,269.097259521484,12,0.0001,61.5134048461914,63.1429221148137,-0.175779983401299,0.290675789117813,-0.0806936025619507,4.01783938775884,-43235.0926762898,-49137.6168691511,-43237.5549616311,-49137.5780706808,-43240.0172469724,-49137.5392722105,1,0,0,0
20130130102310.daq,7,22,1827.58333333333,1,0,right,0.875961303710938,269.124038696289,12,0.0001,61.5164108276367,72.1651296619966,-0.263669967651367,0.290252685546875,-0.0522183887660503,4.17245370232989,-43235.2472615281,-49146.6357678104,-43237.7095647343,-49146.598120179,-43240.1718679405,-49146.5604725476,1,0,0,0
20130130102310.daq,7,22,1827.68333333333,1,0,right,0.843353271484375,269.156646728516,12,0.0001,61.5193977355957,81.187776642153,-0.615229964256287,0.290058791637421,-0.0427267290651798,4.31871881894889,-43235.3936723076,-49155.6545277273,-43237.8559965409,-49155.6182814418,-43240.3183207743,-49155.5820351563,1,0,0,0
